Код покупателя	Артикул	Количество	Дата
Клиент-71	Арт16	6	20.06.2018
Клиент-200	Арт3	5	05.05.2018
Клиент-108	Арт23	7	30.11.2017
Клиент-23	Арт6	8	28.07.2017
Клиент-1	Арт14	5	30.08.2018
Клиент-5	Арт22	7	22.05.2017
Клиент-183	Арт12	3	22.09.2017
Клиент-95	Арт4	10	15.06.2018
Клиент-20	Арт14	5	13.07.2018
Клиент-198	Арт21	5	09.09.2018
Клиент-136	Арт15	3	30.04.2018
Клиент-73	Арт26	8	14.04.2018
Клиент-53	Арт6	6	23.01.2017
Клиент-79	Арт3	8	17.11.2017
Клиент-29	Арт23	10	21.08.2017
Клиент-189	Арт15	7	02.05.2018
Клиент-124	Арт12	9	17.07.2017
Клиент-64	Арт10	4	30.04.2017
Клиент-195	Арт3	4	31.07.2018
Клиент-43	Арт23	4	28.06.2017
Клиент-112	Арт12	8	25.06.2018
Клиент-173	Арт1	8	15.07.2017
Клиент-155	Арт5	3	02.03.2018
Клиент-196	Арт1	6	10.02.2017
Клиент-167	Арт4	4	22.08.2018
Клиент-100	Арт23	7	30.05.2018
Клиент-12	Арт26	4	04.04.2018
Клиент-73	Арт2	10	13.08.2017
Клиент-76	Арт26	3	06.08.2018
Клиент-200	Арт20	10	19.06.2018
Клиент-41	Арт18	9	19.08.2018
Клиент-63	Арт23	8	24.08.2018
Клиент-58	Арт22	8	11.12.2017
Клиент-190	Арт26	5	20.04.2017
Клиент-180	Арт17	1	09.09.2017
Клиент-200	Арт9	2	24.09.2018
Клиент-138	Арт23	2	18.01.2017
Клиент-79	Арт16	1	17.09.2018
Клиент-180	Арт14	7	03.08.2018
Клиент-88	Арт15	9	16.11.2017
Клиент-179	Арт1	6	11.03.2017
Клиент-19	Арт8	4	31.01.2017
Клиент-78	Арт9	3	30.05.2017
Клиент-191	Арт24	8	22.07.2017
Клиент-171	Арт16	4	20.03.2017
Клиент-69	Арт9	3	01.04.2018
Клиент-68	Арт2	8	10.11.2017
Клиент-140	Арт16	3	21.05.2018
Клиент-90	Арт10	1	10.04.2018
